unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location.latitude,location.longitude,location.human_address,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,taxi_pick_up_location,facility_type,road_ramp,due_date,vehicle_type,taxi_company_borough
51941126,2021-09-21T19:54:44Z,2021-09-21T21:03:30Z,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11217,276 BERKELEY PLACE,BERKELEY PLACE,8 AVENUE,PLAZA ST WEST,8 AVENUE,PLAZA ST WEST,ADDRESS,BROOKLYN,BERKELEY PLACE,Closed,The Police Department issued a summons in response to the complaint.,2021-09-22T01:03:32Z,06 BROOKLYN,3010640016,BROOKLYN,992070,184775,ONLINE,Unspecified,BROOKLYN,40.673837989209375,-73.97180860774353,40.673837989209375,-73.97180860774353,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51941127,2021-09-21T23:40:48Z,2021-09-22T02:20:57Z,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11225,81 FENIMORE STREET,FENIMORE STREET,FLATBUSH AVENUE,BEDFORD AVENUE,FLATBUSH AVENUE,BEDFORD AVENUE,ADDRESS,BROOKLYN,FENIMORE STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2021-09-22T06:21:05Z,09 BROOKLYN,3050370094,BROOKLYN,995539,179060,ONLINE,Unspecified,BROOKLYN,40.65814784167485,-73.95931230432768,40.65814784167485,-73.95931230432768,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51941128,2021-09-21T13:01:01Z,NA,DSNY,Department of Sanitation,Missed Collection,Bulky Trash,Street,11426,250-03 88 ROAD,88 ROAD,250 STREET,DEAD END,250 STREET,DEAD END,ADDRESS,BELLEROSE,88 ROAD,In Progress,NA,NA,13 QUEENS,4086680169,QUEENS,1063219,204596,ONLINE,Unspecified,QUEENS,40.72789294669301,-73.71508238273032,40.72789294669301,-73.71508238273032,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51941129,2021-09-21T13:19:58Z,NA,DSNY,Department of Sanitation,Missed Collection,Bulky Trash,Street,10305,37 NORWAY AVENUE,NORWAY AVENUE,KERMIT AVENUE,KRAMER STREET,KERMIT AVENUE,KRAMER STREET,ADDRESS,STATEN ISLAND,NORWAY AVENUE,In Progress,NA,NA,02 STATEN ISLAND,5032370028,STATEN ISLAND,961771,156908,ONLINE,Unspecified,STATEN ISLAND,40.59732395438232,-74.0809447826713,40.59732395438232,-74.0809447826713,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51941132,2021-09-21T12:54:01Z,NA,DSNY,Department of Sanitation,Missed Collection,Recycling - Paper,Street,11418,85-65 114 STREET,114 STREET,MYRTLE AVENUE,86 AVENUE,MYRTLE AVENUE,86 AVENUE,ADDRESS,RICHMOND HILL,114 STREET,In Progress,NA,NA,09 QUEENS,4092220081,QUEENS,1029795,194396,ONLINE,Unspecified,QUEENS,40.70013167748837,-73.83574372245383,40.70013167748837,-73.83574372245383,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51941135,2021-09-21T17:06:00Z,NA,DSNY,Department of Sanitation,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,NA,NA,NA,NA,NA,BAYARD STREET,BAYARD STREET,INTERSECTION,NA,NA,Open,The Department of Sanitation is in the process of investigating this complaint.,NA,03 MANHATTAN,NA,MANHATTAN,NA,NA,ONLINE,Unspecified,MANHATTAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,NA,NA,NA,NA
51941136,2021-09-21T15:31:00Z,NA,DSNY,Department of Sanitation,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,11433,109-24 MERRICK BOULEVARD,MERRICK BOULEVARD,109 AVENUE,109 ROAD,NA,NA,ADDRESS,Jamaica,NA,Open,The Department of Sanitation is in the process of investigating this complaint.,NA,12 QUEENS,4101880011,QUEENS,1044201,193214,ONLINE,Unspecified,QUEENS,40.69680150218821,-73.78379974852493,40.69680150218821,-73.78379974852493,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,N/A,NA,NA,NA,NA
51941137,2021-09-21T14:52:00Z,NA,DSNY,Department of Sanitation,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,11237,618 IRVING AVENUE,IRVING AVENUE,DECATUR STREET,COOPER STREET,NA,NA,ADDRESS,BROOKLYN,NA,Open,The Department of Sanitation is in the process of investigating this complaint.,NA,04 BROOKLYN,3034370146,BROOKLYN,1011158,191592,ONLINE,Unspecified,BROOKLYN,40.69251164930275,-73.9029684683457,40.69251164930275,-73.9029684683457,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,N/A,NA,NA,NA,NA
51941139,2021-09-21T16:37:00Z,NA,DSNY,Department of Sanitation,Dirty Conditions,E3A Dirty Area/Alleyway,Lot,10473,1867 RANDALL AVENUE,RANDALL AVENUE,LELAND AVENUE,UNDERHILL AVENUE,NA,NA,ADDRESS,BRONX,NA,Open,The Department of Sanitation is in the process of investigating this complaint.,NA,09 BRONX,2035610008,BRONX,1023065,237125,PHONE,Unspecified,BRONX,40.8174437598967,-73.85976846747215,40.8174437598967,-73.85976846747215,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,N/A,NA,NA,NA,NA
51941140,2021-09-21T19:54:11Z,2021-09-21T20:32:30Z,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11231,388 CLINTON STREET,CLINTON STREET,SACKETT STREET,UNION STREET,SACKETT STREET,UNION STREET,ADDRESS,BROOKLYN,CLINTON STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2021-09-22T00:32:33Z,06 BROOKLYN,3003380029,BROOKLYN,984913,188305,MOBILE,Unspecified,BROOKLYN,40.68353046923198,-73.9976095128592,40.68353046923198,-73.9976095128592,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51941141,2021-09-21T15:36:19Z,2021-09-21T16:19:37Z,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10466,4337 WICKHAM AVENUE,WICKHAM AVENUE,PITMAN AVENUE,NEREID AVENUE,PITMAN AVENUE,NEREID AVENUE,ADDRESS,BRONX,WICKHAM AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2021-09-21T20:19:40Z,12 BRONX,2050510076,BRONX,1025740,266026,MOBILE,Unspecified,BRONX,40.89675607397592,-73.84992531177923,40.89675607397592,-73.84992531177923,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51941142,2021-09-21T16:26:39Z,2021-09-21T18:13:16Z,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11418,118-14 HILLSIDE AVENUE,HILLSIDE AVENUE,118 STREET,LEFFERTS BOULEVARD,118 STREET,LEFFERTS BOULEVARD,ADDRESS,RICHMOND HILL,HILLSIDE AVENUE,Closed,The Police Department issued a summons in response to the complaint.,2021-09-21T22:13:23Z,09 QUEENS,4092640056,QUEENS,1030802,194722,ONLINE,Unspecified,QUEENS,40.70102122948545,-73.83210977139993,40.70102122948545,-73.83210977139993,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51941146,2021-09-21T16:25:07Z,NA,DSNY,Department of Sanitation,Missed Collection,Trash,Street,10023,152 WEST   66 STREET,WEST   66 STREET,BROADWAY,AMSTERDAM AVENUE,BROADWAY,AMSTERDAM AVENUE,ADDRESS,NEW YORK,WEST   66 STREET,In Progress,NA,NA,07 MANHATTAN,1011370057,MANHATTAN,988825,221412,PHONE,Unspecified,MANHATTAN,40.774399930204154,-73.98348204813058,40.774399930204154,-73.98348204813058,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51941151,2021-09-21T17:15:00Z,NA,DSNY,Department of Sanitation,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,NA,NA,NA,NA,NA,BAYCHESTER AVENUE,BAYCHESTER AVENUE,INTERSECTION,NA,NA,Open,The Department of Sanitation is in the process of investigating this complaint.,NA,10 BRONX,NA,BRONX,NA,NA,PHONE,Unspecified,BRONX,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,NA,NA,NA,NA
51941152,2021-09-21T13:55:11Z,2021-09-21T13:55:11Z,DOB,Department of Buildings,General Construction/Plumbing,Building Permit - None,NA,11419,125-16 107 AVENUE,107 AVENUE,NA,NA,NA,NA,ADDRESS,South Richmond Hill,NA,Open,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2021-09-21T04:00:00Z,10 QUEENS,4096050009,QUEENS,1034735,189194,UNKNOWN,Unspecified,QUEENS,40.6858266171303,-73.8179668388996,40.6858266171303,-73.8179668388996,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51941153,2021-09-21T18:00:44Z,2021-09-22T01:54:10Z,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,10453,1750 SEDGWICK AVENUE,SEDGWICK AVENUE,WEST  176 STREET,CEDAR AVENUE,WEST  176 STREET,CEDAR AVENUE,ADDRESS,BRONX,SEDGWICK AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2021-09-22T05:54:14Z,05 BRONX,2028800153,BRONX,1005965,249397,PHONE,Unspecified,BRONX,40.85118543090678,-73.92150788199766,40.85118543090678,-73.92150788199766,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51941155,2021-09-21T17:44:09Z,2021-09-21T18:10:13Z,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,10305,41 DUMONT AVENUE,DUMONT AVENUE,OREGON ROAD,HYLAN BOULEVARD,OREGON ROAD,HYLAN BOULEVARD,ADDRESS,STATEN ISLAND,DUMONT AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2021-09-21T22:10:17Z,02 STATEN ISLAND,5033230005,STATEN ISLAND,960159,156032,ONLINE,Unspecified,STATEN ISLAND,40.594915276959334,-74.08674631692084,40.594915276959334,-74.08674631692084,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51941156,2021-09-21T23:49:05Z,2021-09-21T23:52:40Z,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11368,34-11 99 STREET,99 STREET,34 AVENUE,35 AVENUE,34 AVENUE,35 AVENUE,ADDRESS,CORONA,99 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2021-09-22T03:52:45Z,03 QUEENS,4017330047,QUEENS,1020518,214379,ONLINE,Unspecified,QUEENS,40.755022963272545,-73.86909310779376,40.755022963272545,-73.86909310779376,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51941157,2021-09-21T17:58:10Z,NA,DOHMH,Department of Health and Mental Hygiene,Day Care,Day Care Facility,Other,10459,888 WESTCHESTER AVENUE,WESTCHESTER AVENUE,HEWITT PLACE,EAST  162 STREET,HEWITT PLACE,EAST  162 STREET,ADDRESS,BRONX,WESTCHESTER AVENUE,In Progress,NA,NA,02 BRONX,2026960030,BRONX,1012200,238410,PHONE,Unspecified,BRONX,40.821011779121136,-73.89901634210499,40.821011779121136,-73.89901634210499,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51941158,2021-09-21T18:23:49Z,NA,DOHMH,Department of Health and Mental Hygiene,Vaccine Mandate Non-Compliance,Customer Proof of Vaccination Not Checked,Store/Commercial,10305,107 MC CLEAN AVENUE,MC CLEAN AVENUE,OCEAN AVENUE,RAILROAD AVENUE,OCEAN AVENUE,RAILROAD AVENUE,ADDRESS,STATEN ISLAND,MC CLEAN AVENUE,In Progress,NA,NA,02 STATEN ISLAND,5031030046,STATEN ISLAND,966074,157291,ONLINE,Unspecified,STATEN ISLAND,40.598385081022606,-74.06545111788105,40.598385081022606,-74.06545111788105,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51941159,2021-09-21T13:48:00Z,NA,DSNY,Department of Sanitation,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,11233,278 PATCHEN AVENUE,PATCHEN AVENUE,BAINBRIDGE STREET,CHAUNCEY STREET,NA,NA,ADDRESS,BROOKLYN,NA,Open,The Department of Sanitation is in the process of investigating this complaint.,NA,03 BROOKLYN,3016870047,BROOKLYN,1004858,187442,ONLINE,Unspecified,BROOKLYN,40.68113776630494,-73.92569924985112,40.68113776630494,-73.92569924985112,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,N/A,NA,NA,NA,NA
51941160,2021-09-21T10:28:00Z,NA,DSNY,Department of Sanitation,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,11102,2-21 27 AVENUE,27 AVENUE,2 STREET,3 STREET,NA,NA,ADDRESS,Astoria,NA,Open,The Department of Sanitation is in the process of investigating this complaint.,NA,01 QUEENS,4009140035,QUEENS,1002384,221668,ONLINE,Unspecified,QUEENS,40.77508516594098,-73.93452685299086,40.77508516594098,-73.93452685299086,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,N/A,NA,NA,NA,NA
51941162,2021-09-22T01:50:09Z,2021-09-22T02:07:38Z,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,10026,SAINT NICHOLAS AVENUE,SAINT NICHOLAS AVENUE,SAINT NICHOLAS AVENUE,WEST  114 STREET,SAINT NICHOLAS AVENUE,WEST  114 STREET,INTERSECTION,NA,NA,Closed,The Police Department responded to the complaint and took action to fix the condition.,2021-09-22T06:07:44Z,10 MANHATTAN,NA,MANHATTAN,997385,231299,ONLINE,Unspecified,MANHATTAN,40.801528517460625,-73.95255699888203,40.801528517460625,-73.95255699888203,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51941163,2021-09-21T22:33:23Z,2021-09-21T23:19:21Z,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11201,114 MYRTLE AVENUE,MYRTLE AVENUE,BRIDGE STREET,DUFFIELD STREET,BRIDGE STREET,DUFFIELD STREET,ADDRESS,BROOKLYN,MYRTLE AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2021-09-22T03:19:24Z,02 BROOKLYN,3020580017,BROOKLYN,988473,192007,ONLINE,Unspecified,BROOKLYN,40.69369062609375,-73.98477139430014,40.69369062609375,-73.98477139430014,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51941164,2021-09-21T14:12:36Z,2021-09-21T16:37:12Z,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10282,10 RIVER TERRACE,RIVER TERRACE,BEND,MURRAY STREET,BEND,MURRAY STREET,ADDRESS,NEW YORK,RIVER TERRACE,Closed,The Police Department issued a summons in response to the complaint.,2021-09-21T20:37:18Z,01 MANHATTAN,1000167516,MANHATTAN,979693,200170,ONLINE,Unspecified,MANHATTAN,40.71609597327149,-74.01643857077609,40.71609597327149,-74.01643857077609,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51941165,2021-09-21T19:21:52Z,2021-09-21T21:12:40Z,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11238,618 VANDERBILT AVENUE,VANDERBILT AVENUE,ST MARKS AVENUE,PROSPECT PLACE,ST MARKS AVENUE,PROSPECT PLACE,ADDRESS,BROOKLYN,VANDERBILT AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2021-09-22T01:12:42Z,08 BROOKLYN,3011510054,BROOKLYN,992904,186239,MOBILE,Unspecified,BROOKLYN,40.6778555629551,-73.96880012700942,40.6778555629551,-73.96880012700942,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51941167,2021-09-21T14:02:00Z,NA,DSNY,Department of Sanitation,Dirty Conditions,E3A Dirty Area/Alleyway,Lot,11233,1715 LINCOLN PLACE,LINCOLN PLACE,HOWARD AVENUE,EAST NEW YORK AVENUE,NA,NA,ADDRESS,BROOKLYN,NA,Open,The Department of Sanitation is in the process of investigating this complaint.,NA,16 BROOKLYN,3014740066,BROOKLYN,1006677,183057,PHONE,Unspecified,BROOKLYN,40.66909751202369,-73.91915556300708,40.66909751202369,-73.91915556300708,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,N/A,NA,NA,NA,NA
51941168,2021-09-21T18:46:09Z,2021-09-21T21:04:39Z,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10463,474 WEST  238 STREET,WEST  238 STREET,GREYSTONE AVENUE,FIELDSTON ROAD,GREYSTONE AVENUE,FIELDSTON ROAD,ADDRESS,BRONX,WEST  238 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2021-09-22T01:04:42Z,08 BRONX,2057710041,BRONX,1010246,262631,MOBILE,Unspecified,BRONX,40.88749713300381,-73.90598223511111,40.88749713300381,-73.90598223511111,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51941169,2021-09-22T01:23:37Z,2021-09-22T01:31:21Z,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11360,28-03 203 STREET,203 STREET,28 AVENUE,29 AVENUE,28 AVENUE,29 AVENUE,ADDRESS,BAYSIDE,203 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2021-09-22T05:31:28Z,11 QUEENS,4060300002,QUEENS,1043078,220937,ONLINE,Unspecified,QUEENS,40.77290161221684,-73.78760717902098,40.77290161221684,-73.78760717902098,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51941170,2021-09-21T15:07:37Z,2021-09-21T15:52:29Z,DHS,Department of Homeless Services,Homeless Person Assistance,Chronic,Street/Sidewalk,10019,825 8 AVENUE,8 AVENUE,WEST 49 STREET,WEST 50 STREET,WEST   49 STREET,WEST   50 STREET,ADDRESS,NEW YORK,8 AVENUE,Closed,The mobile outreach response team went to the location provided but could not find the individual that you reported.,2021-09-21T15:52:29Z,04 MANHATTAN,1010400029,MANHATTAN,988052,216921,MOBILE,Unspecified,MANHATTAN,40.762073667707405,-73.9862754905851,40.762073667707405,-73.9862754905851,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51941171,2021-09-22T02:57:21Z,2021-09-22T03:04:50Z,DHS,Department of Homeless Services,Homeless Person Assistance,Chronic,Street/Sidewalk,10002,80 CANAL STREET,CANAL STREET,ALLEN STREET,ELDRIDGE STREET,ALLEN STREET,ELDRIDGE STREET,ADDRESS,NEW YORK,CANAL STREET,Closed,The Department of Homeless Services did not have enough information to act on your request.,2021-09-22T03:04:50Z,03 MANHATTAN,1002930011,MANHATTAN,986151,199868,MOBILE,Unspecified,MANHATTAN,40.71526802492418,-73.99314256424996,40.71526802492418,-73.99314256424996,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51941174,2021-09-21T10:41:08Z,2021-09-22T03:35:39Z,DHS,Department of Homeless Services,Homeless Person Assistance,Non-Chronic,Subway,NA,NA,NA,NA,NA,NA,NA,ADDRESS,NA,NA,Closed,"The mobile outreach response team offered services to the individual, but the individual did not accept assistance.",2021-09-22T03:35:39Z,Unspecified MANHATTAN,NA,MANHATTAN,996549,223269,MOBILE,Unspecified,MANHATTAN,40.77948953337519,-73.95559129495116,40.77948953337519,-73.95559129495116,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",4,4 5 Downtown & Brooklyn lower level,Platform,NA,NA,NA,NA,NA,NA
51941175,2021-09-21T06:23:10Z,2021-09-21T14:33:04Z,DHS,Department of Homeless Services,Homeless Person Assistance,Non-Chronic,Subway,NA,NA,NA,NA,NA,NA,NA,ADDRESS,NA,NA,Closed,The mobile outreach response team went to the location provided but could not find the individual that you reported.,2021-09-21T14:33:04Z,Unspecified MANHATTAN,NA,MANHATTAN,985981,200960,MOBILE,Unspecified,MANHATTAN,40.71826533806636,-73.99375552072497,40.71826533806636,-73.99375552072497,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",D,B D Uptown & The Bronx,Platform,NA,NA,NA,NA,NA,NA
51941176,2021-09-21T06:22:02Z,2021-09-21T14:31:44Z,DHS,Department of Homeless Services,Homeless Person Assistance,Non-Chronic,Subway,NA,NA,NA,NA,NA,NA,NA,ADDRESS,NA,NA,Closed,The mobile outreach response team went to the location provided but could not find the individual that you reported.,2021-09-21T14:31:44Z,Unspecified MANHATTAN,NA,MANHATTAN,985981,200960,MOBILE,Unspecified,MANHATTAN,40.71826533806636,-73.99375552072497,40.71826533806636,-73.99375552072497,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",D,B D Downtown & Brooklyn,Platform,NA,NA,NA,NA,NA,NA
51941177,2021-09-21T16:06:00Z,NA,DEP,Department of Environmental Protection,Noise,Noise: air condition/ventilation equipment (NV1),NA,11229,3457 NOSTRAND AVENUE,NOSTRAND AVENUE,GRAVESEND NECK RD,AVENUE V,NA,NA,ADDRESS,BROOKLYN,NA,Open,NA,NA,15 BROOKLYN,3073630009,BROOKLYN,1000428,157773,PHONE,Unspecified,BROOKLYN,40.59971194559964,-73.94174245119909,40.59971194559964,-73.94174245119909,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,N/A,NA,NA,NA,NA
51941179,2021-09-21T15:15:13Z,NA,DSNY,Department of Sanitation,Abandoned Bike,Chained to Public Property,Street,11249,84 BROADWAY,BROADWAY,WYTHE AVENUE,BERRY STREET,WYTHE AVENUE,BERRY STREET,ADDRESS,BROOKLYN,BROADWAY,In Progress,NA,NA,01 BROOKLYN,3021300017,BROOKLYN,993734,198135,ONLINE,Unspecified,BROOKLYN,40.71050647414483,-73.96579101709854,40.71050647414483,-73.96579101709854,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51941181,2021-09-21T23:21:00Z,NA,DEP,Department of Environmental Protection,Noise,Noise: air condition/ventilation equipment (NV1),NA,10014,17 JANE STREET,JANE STREET,GREENWICH AVE,W 4 ST,NA,NA,ADDRESS,NEW YORK,NA,Open,NA,NA,02 MANHATTAN,1006160032,MANHATTAN,983420,208202,ONLINE,Unspecified,MANHATTAN,40.738142991792486,-74.00299506876061,40.738142991792486,-74.00299506876061,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,N/A,NA,NA,NA,NA
51941182,2021-09-21T17:32:27Z,NA,DSNY,Department of Sanitation,Dirty Condition,Poster or Sign,Sidewalk,11217,71 ROCKWELL PLACE,ROCKWELL PLACE,FULTON STREET,LAFAYETTE AVENUE,FULTON STREET,LAFAYETTE AVENUE,ADDRESS,BROOKLYN,ROCKWELL PLACE,In Progress,NA,NA,02 BROOKLYN,NA,BROOKLYN,990015,189878,ONLINE,Unspecified,BROOKLYN,40.68784614176557,-73.979212593604,40.68784614176557,-73.979212593604,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51941187,2021-09-21T20:16:18Z,NA,DSNY,Department of Sanitation,Missed Collection,Recycling - Metal/Glass/Rigid Plastic,Street,11233,501 HANCOCK STREET,HANCOCK STREET,MARCUS GARVEY BOULEVARD,LEWIS AVENUE,MARCUS GARVEY BOULEVARD,LEWIS AVENUE,ADDRESS,BROOKLYN,HANCOCK STREET,In Progress,NA,NA,03 BROOKLYN,3016540044,BROOKLYN,1002111,188557,ONLINE,Unspecified,BROOKLYN,40.68420415575277,-73.93560041325257,40.68420415575277,-73.93560041325257,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51941188,2021-09-21T14:43:16Z,2021-09-21T15:37:48Z,NYPD,New York City Police Department,Noise - Residential,Loud Television,Residential Building/House,11225,240 CROWN STREET,CROWN STREET,ROGERS AVENUE,DEARBORN COURT,ROGERS AVENUE,DEARBORN COURT,ADDRESS,BROOKLYN,CROWN STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2021-09-21T19:37:51Z,09 BROOKLYN,3012960014,BROOKLYN,997386,182060,ONLINE,Unspecified,BROOKLYN,40.66637963014084,-73.95264952275203,40.66637963014084,-73.95264952275203,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51941189,2021-09-21T22:43:25Z,2021-09-21T23:42:49Z,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Horn,Street/Sidewalk,11366,158-33 78 AVENUE,78 AVENUE,PARSONS BOULEVARD,160 STREET,PARSONS BOULEVARD,160 STREET,ADDRESS,FRESH MEADOWS,78 AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2021-09-22T03:42:52Z,08 QUEENS,4068280015,QUEENS,1037047,202519,ONLINE,Unspecified,QUEENS,40.72238703289527,-73.8095260418184,40.72238703289527,-73.8095260418184,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51941191,2021-09-21T18:12:14Z,2021-09-21T18:26:17Z,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Mixed Use Building,10029,89 EAST  116 STREET,EAST  116 STREET,MADISON AVENUE,METRO NORTH-CONNECTING RAIL LINE,MADISON AVENUE,METRO NORTH-CONNECTING RAIL LINE,ADDRESS,NEW YORK,EAST  116 STREET,Closed,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location.  You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,2021-09-21T18:12:14Z,11 MANHATTAN,1016220030,MANHATTAN,999832,230570,PHONE,Unspecified,MANHATTAN,40.79952363566291,-73.94372024414999,40.79952363566291,-73.94372024414999,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
